name,address,lat,lon,price_level,rating,category,neighborhood
SWEAT440 Fitness Chelsea,"600 6th Ave, New York, NY 10011, USA",40.739371399999996,-73.99511389999999,N/A,4.9,gym,Chelsea
Crunch Fitness - Chelsea,"220 W 19th St, New York, NY 10011, USA",40.7418793,-73.9985166,N/A,4.2,gym,Chelsea
Chelsea Piers Fitness,"60 Chelsea Piers, New York, NY 10011, USA",40.746645,-74.01005700000002,N/A,4.3,gym,Chelsea
"Iron Bodyfit Chelsea, NYC","220 W 16th St, New York, NY 10011, USA",40.7402246,-73.9999212,N/A,4.9,gym,Chelsea
BODYROK Chelsea,"110 W 27th St, New York, NY 10001, USA",40.7456129,-73.9917459,N/A,4.9,gym,Chelsea
JETSET Pilates - Chelsea,"129 W 20th St, New York, NY 10011, USA",40.7417868,-73.99538319999999,N/A,N/A,gym,Chelsea
Gym U NYC,"215 W 23rd St, New York, NY 10011, USA",40.7445928,-73.9961144,N/A,4.2,gym,Chelsea
The Fit Faction,"127 W 26th St Store 2, New York, NY 10001, USA",40.7455052,-73.9925205,N/A,5,gym,Chelsea
Barry's Chelsea,"135 W 20th St, New York, NY 10011, USA",40.7418531,-73.995542,N/A,4.6,gym,Chelsea
Body Space Fitness Union Square,"47 W 14th St floor 5, New York, NY 10011, USA",40.73709,-73.995779,PRICE_LEVEL_MODERATE,4.8,gym,Chelsea
PureGym Chelsea,"308 8th Ave, New York, NY 10001, USA",40.7467943,-73.9971016,N/A,4.3,gym,Chelsea
Progressive Fitness Training,"135 W 20th St, New York, NY 10011, USA",40.7418675,-73.9955439,N/A,4.9,gym,Chelsea
Chelsea Piers Fitness,"308 Park Ave S, New York, NY 10010, USA",40.740508999999996,-73.9864343,N/A,4.2,gym,Chelsea
The Limit,"606 W 26th St, New York, NY 10001, USA",40.750866200000004,-74.00613059999999,N/A,4.9,gym,Chelsea
Equinox High Line,"100 10th Ave, New York, NY 10011, USA",40.7438299,-74.00672469999999,N/A,3.8,gym,Chelsea
F45 Training Flatiron,"123 W 20th St, New York, NY 10011, USA",40.7416955,-73.99510959999999,N/A,4.8,gym,Chelsea
Hudson Training NYC,"135 W 26th St Suite 6C, New York, NY 10001, USA",40.745519699999996,-73.9927182,N/A,4.9,gym,Chelsea
CompleteBody 19th Street,"22 W 19th St, New York, NY 10011, USA",40.7394932,-73.9928627,N/A,4.7,gym,Chelsea
Bk Pilates - Chelsea,"248 W 14th St Second Floor, New York, NY 10011, USA",40.739333099999996,-74.002067,N/A,4.2,gym,Chelsea
Focus Integrated Fitness,"115 W 27th St #1101, New York, NY 10001, USA",40.7458514,-73.9917573,N/A,4.9,gym,Chelsea
Grit City Strength & Conditioning,"391 Concord Ave, Bronx, NY 10454, USA",40.8091514,-73.9099413,N/A,4.8,gym,Mott Haven
The Pearl Pilates Haven,"11 Bruckner Blvd, Bronx, NY 10454, USA",40.808039,-73.929605,N/A,5,gym,Mott Haven
Equis Fitness,"242 E 137th St floor 1, Bronx, NY 10451, USA",40.811018,-73.92888099999999,N/A,4.9,gym,Mott Haven
Iron Punisher Gym,"270 Rider Ave, Bronx, NY 10451, USA",40.8119769,-73.92765949999999,N/A,4.9,gym,Mott Haven
Trader Joe's,"675 6th Ave, New York, NY 10010, USA",40.741896200000006,-73.99381679999999,PRICE_LEVEL_MODERATE,4.6,grocery,Chelsea
Chelsea Market,"75 9th Ave, New York, NY 10011, USA",40.7424396,-74.0061439,N/A,4.6,grocery,Chelsea
Whole Foods Market,"250 7th Ave, New York, NY 10001, USA",40.7449592,-73.99529129999999,PRICE_LEVEL_MODERATE,4.2,grocery,Chelsea
Fairway Market of Chelsea,"766 6th Ave, New York, NY 10010, USA",40.7445028,-73.99142499999999,N/A,4.2,grocery,Chelsea
Westside Market NYC,"170 W 23rd St, New York, NY 10011, USA",40.7436655,-73.9951853,N/A,4.3,grocery,Chelsea
Ideal Marketplace,"317 9th Ave, New York, NY 10001, USA",40.7500302,-73.99897399999999,N/A,4.1,grocery,Chelsea
Westside Market NYC,"77 7th Ave, New York, NY 10011, USA",40.7387517,-73.99907639999999,PRICE_LEVEL_MODERATE,4.1,grocery,Chelsea
Whole Foods Market,"450 W 33rd St, New York, NY 10001, USA",40.7528918,-73.99973709999999,N/A,4.3,grocery,Chelsea
Pearl River Mart Foods,"Chelsea Market, Lower Level, 75 9th Ave, New York, NY 10011, USA",40.7428514,-74.0064061,N/A,4.3,grocery,Chelsea
Chelsea Food Mart,"194 8th Ave, New York, NY 10011, USA",40.7431251,-73.999653,PRICE_LEVEL_MODERATE,4.8,grocery,Chelsea
Hudson Market,"303 10th Ave, New York, NY 10001, USA",40.7507083,-74.00243739999999,N/A,3.8,grocery,Chelsea
Buon'Italia,"75 9th Ave, New York, NY 10011, USA",40.742875,-74.006473,PRICE_LEVEL_MODERATE,4,grocery,Chelsea
Gristedes,"225 9TH AVE, W 24th St, New York, NY 10011, USA",40.7470808,-74.0011597,N/A,3.4,grocery,Chelsea
Heavenly Food Market,"311 11th Ave, New York, NY 10001, USA",40.753174699999995,-74.0045811,N/A,4.1,grocery,Chelsea
Eataly - Flatiron,"200 5th Ave, New York, NY 10010, USA",40.742045,-73.9900845,PRICE_LEVEL_MODERATE,4.4,grocery,Chelsea
Gourmet Square Organic Market,"248 9th Ave, New York, NY 10001, USA",40.7475258,-74.00034889999999,N/A,4.5,grocery,Chelsea
Gristedes,"225 8th Ave, New York, NY 10011, USA",40.74445300000001,-73.99954199999999,N/A,3.6,grocery,Chelsea
Pearl River Mart at Chelsea Market,"75 9th Ave, New York, NY 10011, USA",40.742828700000004,-74.00635249999999,N/A,4.2,grocery,Chelsea
Galleria Marketplace,"203 10th Ave, New York, NY 10011, USA",40.7471861,-74.00474779999999,N/A,3.8,grocery,Chelsea
Whole Foods Market,"63 Madison Ave, New York, NY 10016, USA",40.7437483,-73.9855594,N/A,4.4,grocery,Chelsea
Shop Fair of Mott Haven,"228 Brook Ave, Bronx, NY 10454, USA",40.8069761,-73.91932969999999,PRICE_LEVEL_MODERATE,4.2,grocery,Mott Haven
Shop Fair Supermarket,"345 St Ann's Ave, Bronx, NY 10454, USA",40.809508,-73.91614299999999,N/A,4.1,grocery,Mott Haven
SuperFresh South Bronx,"459 E 149th St, Bronx, NY 10455, USA",40.8154183,-73.9151832,N/A,4.2,grocery,Mott Haven
Motthaven Marketplace,"441 Gerard Ave, Bronx, NY 10451, USA",40.817531699999996,-73.9301127,N/A,4.1,grocery,Mott Haven
FreshDirect,"2 St Ann's Ave, Bronx, NY 10454, USA",40.801309599999996,-73.9192702,N/A,3.9,grocery,Mott Haven
FoodFest Depot,"500 E 132nd St, Bronx, NY 10454, USA",40.803090499999996,-73.9211825,N/A,4.4,grocery,Mott Haven
Pioneer Supermarkets of Willis,"250 Willis Ave, Bronx, NY 10454, USA",40.809211399999995,-73.9224917,N/A,3.6,grocery,Mott Haven
Western Beef Supermarket,"301 Morris Ave, Bronx, NY 10451, USA",40.8126472,-73.9264185,N/A,4,grocery,Mott Haven
